target_id,source_id,meta_rmse,spearman,pb0_rmse,pgmtl_rmse,n_obs_sp,n_obs_su,dif_max_depth,dif_surface_area,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_surface_area,perc_dif_sqrt_surface_area
nhdhr_47478911,nhdhr_81002103,nan,nan,2.5290295622158663,3.0198841013734627,1552.0,2367.0,-13.716,-790602.2290000003,-0.11895961670088973,66.66666666666667,25.827483571123512,12.968034357049637
nhdhr_47480235,nhdhr_91594833,nan,nan,2.2634484961867063,2.1288934915530624,1280.0,1754.0,-2.4383999999999997,93588.92999999993,-0.001368925393566034,15.384615384615383,8.127535137260622,4.065446702850898
nhdhr_151948642,nhdhr_120020206,nan,-2.0,1.8878065993071134,1.8595580619750463,448.0,738.0,1.130279999999999,2734323.2929999996,0.0328542094455852,10.860078057891966,24.682557305490793,12.388631581250866
nhdhr_151949390,nhdhr_120019638,nan,3.399001999453572,4.075019812071616,2.717792378935242,220.0,972.0,20.228800000000003,2989809.2200000007,0.09007529089664612,67.84909305570463,28.538996112226204,14.342885501171493
nhdhr_151949888,nhdhr_139268769,nan,1.265e-321,2.329108686020555,3.0292235379399384,435.0,1616.0,-2.7432,235617.73589999997,-0.09555099247091037,35.29411764705882,31.87505028782412,16.040036408508982
nhdhr_74926427,nhdhr_143249640,nan,256.0,6.79490955519518,4.224501998932894,2811.0,3395.0,-10.308399999999999,-45458190.260000005,0.028473648186173872,37.27607379710857,125.13719805020193,70.29883371714158
nhdhr_74926457,nhdhr_120020354,nan,nan,3.8501894268383214,2.6397628009423966,854.0,1483.0,-12.191999999999998,-13965289.982,-0.019233401779602977,57.14285714285714,101.08136124250215,54.26076628085879
nhdhr_74926527,nhdhr_120018133,nan,nan,1.6028070035789526,1.8694401743576186,1618.0,2636.0,-14.753240000000005,-515866.1469999999,-0.06728268309377139,51.38242347789929,17.323664550070088,8.678140365781442
nhdhr_74926543,nhdhr_86274695,nan,nan,3.374439288481919,2.2312024933917103,716.0,1403.0,1.8838000000000008,-2188345.1939999997,0.08062970568104044,10.86007805789198,79.62724768813274,41.53035808355942
nhdhr_74926703,nhdhr_86274695,nan,-2.0,2.2891387239494185,2.0742008483917806,716.0,1403.0,1.8838000000000008,-1605274.1210000003,0.04373716632443536,10.86007805789198,65.34267114030628,33.593071070499114
nhdhr_74926805,nhdhr_141288680,nan,1.0968358223799264,2.5762499723205883,3.954990991783694,2357.0,3058.0,-3.960000000000001,-441162.9042000001,0.02306639288158796,18.965517241379317,43.04344961693856,21.776882400081735
