target_id,source_ids,pb0_rmse,pgmtl_rmse,n_obs_sp,n_obs_su,dif_max_depth,dif_surface_area,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_surface_area,perc_dif_sqrt_surface_area
nhdhr_120020220,nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120017988 : nhdhr_nhdhr_34119718 : nhdhr_nhdhr_75474779 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_34127708 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_120019712 : nhdhr_nhdhr_32672122,1.6107691865728344,1.5151445932687126,1247.0,1525.0,5.4864,29500.729099999997,0.12861054072553046,89.99999999999999,8.325524545313923,4.164567206834264
nhdhr_120020245,nhdhr_nhdhr_120018459 : nhdhr_nhdhr_91594833 : nhdhr_nhdhr_120018140 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120018133 : nhdhr_nhdhr_37648633 : nhdhr_nhdhr_120020334 : nhdhr_nhdhr_34130604 : nhdhr_nhdhr_121623126,2.3984157605576333,1.3491210592657923,285.0,479.0,-1.8288000000000002,-312181.7644,-0.05852156057494873,20.689655172413797,39.915440646185054,20.160513872415628
nhdhr_120020246,nhdhr_nhdhr_120018459 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_120019712 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_120020211 : nhdhr_nhdhr_141288680 : nhdhr_nhdhr_120018114 : nhdhr_nhdhr_120018129,2.1847492934467576,1.8882402949068855,543.0,834.0,2.7432000000000003,457800.70200000005,0.12936344969199176,72.0,56.194784612017926,28.674972156114908
nhdhr_120020250,nhdhr_nhdhr_120020343 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120017988 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_120020334 : nhdhr_nhdhr_120020208 : nhdhr_nhdhr_120018114 : nhdhr_nhdhr_86274823 : nhdhr_nhdhr_120018049,2.2323006736077162,1.4503346702495956,1584.0,2349.0,14.6304,305392.8851000001,0.20828199863107455,129.72972972972974,37.73323916657684,19.037564774902506
nhdhr_120020396,nhdhr_nhdhr_91687083 : nhdhr_nhdhr_126212479 : nhdhr_nhdhr_143398250 : nhdhr_nhdhr_91690341 : nhdhr_nhdhr_34129366 : nhdhr_nhdhr_91690129 : nhdhr_nhdhr_120018379 : nhdhr_nhdhr_120020208 : nhdhr_nhdhr_34126002,4.061302036241525,2.3182215899094065,281.0,289.0,5.096,62850.408449999995,0.06858316221765914,143.63021420518604,78.30044911659087,40.77772148306196
nhdhr_120020398,nhdhr_nhdhr_120018379 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_126212479 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120019513 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_121839184,2.689264624702556,2.3726720756118627,954.0,1164.0,6.2296,4032282.0231,-0.20978781656399725,121.79557362946743,158.074773941105,98.02328098896268
nhdhr_32732186,nhdhr_nhdhr_139268769 : nhdhr_nhdhr_81002103 : nhdhr_nhdhr_120018140 : nhdhr_nhdhr_121623126 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_152335372 : nhdhr_nhdhr_120018114 : nhdhr_nhdhr_120018133 : nhdhr_nhdhr_80005045,3.170786074898924,2.831258761981854,950.0,1521.0,2.4383999999999997,-165474.8009999995,0.031416837782340834,18.18181818181818,5.891027106969823,2.9461527163639984
nhdhr_34129232,nhdhr_nhdhr_91687083 : nhdhr_nhdhr_34129366 : nhdhr_nhdhr_91690341 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_91690129 : nhdhr_nhdhr_34131191 : nhdhr_nhdhr_91594827 : nhdhr_nhdhr_91594687 : nhdhr_nhdhr_120020208,2.1789256441917635,1.3411715540223108,269.0,361.0,3.0480000000000005,378006.29160999996,0.001095140314852805,83.33333333333334,138.95420616521494,80.82346531673521
nhdhr_34130157,nhdhr_nhdhr_120018089 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_34127708 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_34126002 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_120020805,1.967203829618694,1.905077436874774,976.0,1345.0,10.668,125736.04360000003,0.20725530458590002,118.64406779661016,31.587640596185075,15.893560350403984
nhdhr_34130613,nhdhr_nhdhr_120020199 : nhdhr_nhdhr_120018132 : nhdhr_nhdhr_120018084 : nhdhr_nhdhr_120020805 : nhdhr_nhdhr_34127708 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_120018074 : nhdhr_nhdhr_120020204 : nhdhr_nhdhr_120018081,1.9868621397616544,1.5320977785788563,1345.0,2115.0,-0.9143999999999988,654754.8544,-0.09733059548254619,7.058823529411755,104.98237721800861,56.711776165534445
nhdhr_34130988,nhdhr_nhdhr_139268769 : nhdhr_nhdhr_91594833 : nhdhr_nhdhr_120018139 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_120020199 : nhdhr_nhdhr_120018140 : nhdhr_nhdhr_86274823 : nhdhr_nhdhr_121860894 : nhdhr_nhdhr_120020211,1.923570171482548,1.3847750363024012,130.0,250.0,-1.8288000000000002,-368864.73530000006,0.042573579739904166,23.07692307692308,64.06483418949429,32.89917905146616
nhdhr_34131552,nhdhr_nhdhr_45722930 : nhdhr_nhdhr_120018049 : nhdhr_nhdhr_120018081 : nhdhr_nhdhr_141288680 : nhdhr_nhdhr_86275195 : nhdhr_nhdhr_120018100 : nhdhr_nhdhr_120018139 : nhdhr_nhdhr_120018140 : nhdhr_nhdhr_91684979,2.091301814331229,1.3360461915061042,397.0,633.0,-12.192000000000002,-499384.13320000004,-0.07234770704996585,60.60606060606061,44.14683925775153,22.34905045071105
