,PGMTL,GLM_uncal,GLM_uncal (on test),,stratified,> max depth,< min depth,> max sa,< min sa
120020343,3.157510691,3.13318499,3.13318499,0.02432570067,FALSE,FALSE,FALSE,FALSE,FALSE
70334219,3.496471122,3.462357975,3.462357975,0.03411314629,FALSE,FALSE,FALSE,FALSE,FALSE
105953415,2.323723987,2.265841266,2.265841266,0.05788272113,FALSE,FALSE,FALSE,FALSE,FALSE
120018018,3.516795791,3.451906115,3.451906115,0.06488967604,FALSE,FALSE,TRUE,FALSE,FALSE
166868528,1.833724353,1.742748541,1.742748541,0.09097581261,FALSE,TRUE,FALSE,FALSE,FALSE
{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},1.801837182,1.693493451,1.693493451,0.1083437314,FALSE,FALSE,TRUE,FALSE,FALSE
70332223,3.382690019,3.274269233,3.274269233,0.1084207854,FALSE,FALSE,FALSE,FALSE,FALSE
151949699,2.2307816,2.114435885,2.114435885,0.1163457154,FALSE,FALSE,FALSE,FALSE,FALSE
91688409,3.95013639,3.82928564,3.82928564,0.1208507497,TRUE,FALSE,FALSE,FALSE,FALSE
120020211,2.42935802,2.297380039,2.297380039,0.1319779802,TRUE,FALSE,FALSE,FALSE,FALSE
120020836,3.03971081,2.861081952,2.861081952,0.1786288574,TRUE,FALSE,FALSE,FALSE,FALSE
75474779,1.869489399,1.68776893,1.68776893,0.1817204688,TRUE,FALSE,FALSE,FALSE,FALSE
121622699,6.794014451,6.612221592,6.612221592,0.1817928593,TRUE,FALSE,FALSE,FALSE,FALSE
81002103,2.31924654,2.132752991,2.132752991,0.1864935491,FALSE,FALSE,FALSE,FALSE,FALSE
137059882,3.494406796,3.297591338,3.297591338,0.1968154575,FALSE,FALSE,TRUE,FALSE,FALSE
143416561,3.328498987,3.05194039,3.05194039,0.2765585972,FALSE,FALSE,FALSE,FALSE,FALSE
91595057,2.989802223,2.648538955,2.648538955,0.3412632678,TRUE,FALSE,TRUE,FALSE,FALSE
1101864,2.223963331,1.874572759,1.874572759,0.3493905715,TRUE,FALSE,FALSE,FALSE,FALSE
167258106,3.205249055,2.840155207,2.840155207,0.3650938487,TRUE,FALSE,FALSE,FALSE,FALSE
152335372,1.985756256,1.619658115,1.619658115,0.3660981408,TRUE,FALSE,FALSE,FALSE,FALSE
120020204,2.338396588,1.957667147,1.957667147,0.3807294409,TRUE,FALSE,FALSE,FALSE,FALSE
9022741,2.149392729,1.728956064,1.728956064,0.4204366643,TRUE,FALSE,FALSE,FALSE,FALSE
120018146,3.4789496,3.05528535,3.05528535,0.4236642501,TRUE,FALSE,FALSE,FALSE,FALSE
75653667,2.905889889,2.465249483,2.465249483,0.4406404057,TRUE,FALSE,FALSE,FALSE,FALSE
34127389,3.915644845,3.472295809,3.472295809,0.4433490363,TRUE,FALSE,FALSE,FALSE,FALSE
86275195,2.878532649,2.417684277,2.417684277,0.4608483718,TRUE,FALSE,FALSE,FALSE,FALSE
105954753,4.777758971,4.299286873,4.299286873,0.4784720981,FALSE,FALSE,FALSE,FALSE,FALSE
81642813,3.111711014,2.609815793,2.609815793,0.5018952216,TRUE,FALSE,FALSE,FALSE,FALSE
120018233,3.291010493,2.763207602,2.763207602,0.5278028908,FALSE,FALSE,TRUE,FALSE,FALSE
58125935,3.782893146,3.219401208,3.219401208,0.5634919381,FALSE,FALSE,TRUE,FALSE,FALSE
120020226,3.193041352,2.623135726,2.623135726,0.5699056265,FALSE,FALSE,TRUE,FALSE,FALSE
91683191,3.036580688,2.429930406,2.429930406,0.6066502824,FALSE,FALSE,TRUE,FALSE,FALSE
